Year,AL,AK,AZ,AR,CA,CO,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OR,PA,RI,SC,SD,TN,TX,UT,VY,VA,WA,WV,WI,WY,CT,OK
1959,68.25,68.68,69.43,70.37,71.18,70.88,69.65,70.34,67.91,71.52,71.07,69.57,70.49,71.83,71.93,69.79,68.18,69.93,68.77,70.79,70.13,71.81,67.83,70.46,69.25,71.9,67.88,70.46,69.94,69.61,69.55,68.61,71.65,70.14,70.67,69.39,70.48,66.37,70.99,69.53,70.42,71.62,70.36,68.8,70.8,69.36,71.18,70.01,71.09,71.13
1960,67.91,67.23,69.25,69.89,70.83,70.9,69.08,69.87,67.5,71.34,71.4,69.55,70.26,71.92,71.86,69.57,67.9,70.15,68.64,70.53,70.18,71.82,67.63,70.24,69.56,71.97,67.61,70.72,69.94,69.29,69.67,68.17,71.51,70.17,71.02,69.47,70.58,66.1,70.52,69.38,70.18,71.75,70.43,68.72,71.05,69.56,71.11,69.17,71.05,70.79
1961,68.56,67.99,69.44,70.47,71.07,71.22,69.87,70.45,68.35,72.34,71.29,69.95,70.69,72.24,72.15,69.96,68.7,70.35,69.22,70.77,70.53,72.24,68.29,70.73,69.95,72.19,68.05,70.81,70.01,70.11,69.84,68.8,72.27,70.56,71.42,69.77,71.1,66.87,71.44,69.79,70.81,71.9,70.6,69.28,71.36,69.8,71.69,70.58,71.41,71.15
1962,68.31,67.86,69.38,69.77,71.09,70.94,69.72,70.15,68,72.31,71.38,69.86,70.53,72.28,71.99,69.8,68.22,70.27,69.21,70.96,70.42,72.28,67.54,70.48,70.31,72.21,68.25,71.03,70.09,70.17,69.8,68.63,71.98,70.44,71.58,69.74,70.88,67.08,70.87,69.59,70.42,71.81,70.73,69,71.25,69.53,71.69,70.15,71.11,71
1963,68,68.13,69.21,69.57,70.88,71.05,69.58,70.15,67.66,72.3,71.25,69.65,70.03,72.08,71.79,69.55,68.22,70.36,68.82,71.4,70.17,72.18,67.22,70.21,70.19,72.09,67.74,70.45,69.93,69.79,69.76,68.41,71.91,70.24,71.31,69.57,70.53,66.47,71.09,69.28,70.35,71.73,70.6,68.84,71.45,69.16,71.51,69.81,70.99,70.92
1964,68.33,67,69.67,69.83,70.96,71.02,69.72,70.45,68.01,72.83,71.47,69.75,70.47,72.09,72.15,70.02,68.1,70.55,69.48,72.56,70.34,72.21,67.76,70.45,69.57,71.91,67.69,70.65,70.09,69.91,69.9,68.72,72.03,70.45,71.45,69.95,70.88,67.03,71.42,69.63,70.62,72.22,70.42,69.23,71.39,69.78,71.8,70,71.48,71.16
1965,68.21,68.64,70.45,70.29,71.1,71.5,69.61,70.53,68.11,73.09,71.22,69.7,70.39,72.1,72.3,70.19,68.02,70.79,69.18,70.78,70.24,72.47,67.88,70.37,70.16,71.98,68.19,70.72,70.25,70.27,70.14,68.61,72.16,70.37,71.58,69.84,70.84,67,71.89,69.95,70.84,71.94,70.5,69.34,71.89,69.46,71.63,70.77,71.44,71.65
1966,68.26,69.21,70.13,70.42,71.1,71.68,69.19,70.51,68.21,73.27,71.48,69.44,70.3,72.16,72.23,70.07,68,70.67,69.19,71.17,70.17,72.36,67.55,70.23,69.99,72.21,68.7,70.97,70.28,70.21,70.02,68.63,71.88,70.38,71.29,69.87,71.18,66.98,71.63,69.74,70.61,71.8,70.69,69.49,71.4,69.43,71.74,71.45,71.47,71.27
1967,68.98,69.33,70.72,70.65,71.45,72.01,69.77,71.03,68.57,73.32,72.06,69.75,70.64,72.55,72.48,70.07,68.65,70.45,69.76,71.29,70.29,72.61,68.04,70.56,70.37,72.58,69.42,71.06,70.61,70.48,70.2,68.98,72.84,70.59,71.64,70.07,71.53,67.6,72.5,70.08,70.97,72.87,70.96,69.8,71.5,69.54,72.21,71.29,71.73,71.42
1968,68.61,69.24,70.45,70.01,71.51,71.32,69.31,70.48,67.84,72.77,71.97,69.47,70.32,72.2,72.24,69.85,67.89,70.59,69.45,71.15,70.12,72.52,67.66,70.28,70.89,72.34,68.87,70.97,70.3,70.32,69.94,68.68,72.75,70.18,71.87,69.69,71.07,66.89,72.08,69.76,70.42,72.54,70.89,69.29,71.19,69.39,71.85,70.7,71.64,71.26
1969,68.71,70.05,70.8,70.32,71.44,72.13,69.8,70.49,68.23,73.28,71.89,69.81,70.52,72.52,72.12,69.99,68.32,70.87,70.01,71.56,70.4,72.83,67.65,70.2,70.48,72.61,69.28,70.97,70.7,70.45,70.26,68.78,72.58,70.51,71.96,70.22,71.74,67.62,71.68,69.88,70.57,73.04,71.3,69.76,71.41,69.49,72.18,70.06,72.18,71.25
1970,69.15,69.22,70.9,70.75,71.8,72.13,69.92,70.75,68.37,74.04,72.01,70.06,70.94,72.56,72.81,70.01,68.73,70.67,70.19,71.88,70.7,73.03,68.36,70.63,70.79,72.51,69.31,71.55,70.96,70.51,70.47,69.26,72.99,70.78,72.41,70.36,71.73,68.08,72.33,69.97,70.84,72.77,71.85,70.24,71.88,69.2,72.47,70.84,72.57,71.06
1971,69.45,69.47,71.05,70.94,72.01,72.35,70.93,71.32,68.95,74.31,72.14,70.44,71.17,72.75,72.73,70.34,69.35,71.56,70.77,72.13,70.83,73.28,68.64,71.14,70.65,72.74,69.76,71.66,71.2,70.75,70.83,69.75,73.07,71.15,72.33,70.73,72.31,68.28,72.39,70.6,71.29,73.09,72.2,70.51,72.09,69.85,72.93,70.44,72.9,71.94
1972,69.56,70.19,71.87,70.9,72.29,72.81,70.65,71.3,68.99,74.58,72.32,70.62,71.29,72.96,72.93,70.46,69.22,71.47,70.88,72.34,70.92,73.22,68.92,71.19,70.79,72.92,70.47,72.15,71.47,70.86,71.09,69.37,73.49,71.04,72.59,70.94,72.16,68.3,71.5,70.41,71.08,73.23,72.79,70.45,72.54,69.69,72.81,70.74,72.99,71.67
1973,69.6,70.32,71.97,71.03,72.52,72.66,71.06,71.26,69.1,74.98,72.72,70.65,71.3,73.26,73.06,70.45,69.28,72.02,71.46,72.48,71.03,73.79,69.07,71.3,71.15,73.39,70.72,72.33,71.78,70.82,71.47,69.73,73.23,71.29,72.67,71.13,72.43,68.18,72.91,70.56,71.18,73.33,72.14,70.76,72.55,70.24,73.17,71.18,73.22,71.91
1974,70.18,70.83,72.52,71.43,73.03,73.48,71.21,72.15,69.87,75.52,73.04,71.14,72.01,73.66,73.41,71.17,70.19,72.27,71.61,72.98,71.66,74.28,70.09,71.91,72.26,73.59,71.06,72.55,72.29,71.63,71.95,70.7,73.35,71.79,73.17,71.66,73.2,69.12,73.14,71.12,71.93,74.13,72.94,71.42,73.2,70.71,73.47,71.25,73.65,72.11
1975,71.03,71.63,73.28,72,73.35,74.16,72.42,73.03,70.78,76.12,73.55,71.81,72.63,74.14,73.93,71.49,70.47,73.24,72.22,73.55,72.16,74.73,70.59,72.43,72.61,74.08,71.7,73.79,72.88,72.43,72.59,71.26,74.22,72.29,73.73,72.12,73.89,70.15,73.68,71.8,72.46,74.2,73.49,72.02,73.58,70.99,73.99,71.6,74.02,72.37
1976,71.21,71.71,73.68,72.72,73.76,74.26,72.74,73.5,71.24,76.55,73.63,72.22,72.88,74.42,74.25,72.19,70.54,73.51,72.34,74.02,72.39,75.03,70.81,72.68,72.4,74.39,72.36,73.85,73.21,72.67,72.64,71.72,74.64,72.61,73.97,72.44,73.72,70.58,73.35,72.11,72.7,74.9,73.95,72.34,73.84,71.26,74.28,71.98,74.31,72.66
1977,71.38,72.13,73.89,73.07,74.18,74.76,73.22,73.71,71.31,76.97,74.35,72.47,72.98,75.23,74.52,71.96,70.8,74.31,72.99,74.63,72.89,75.52,71.23,73,73.46,74.83,72.38,74.58,73.37,73.51,73.05,72,75.46,72.75,74.29,72.83,73.96,70.7,74.31,72.38,73.16,75.17,74.56,72.8,74.46,71.78,74.76,72.78,74.73,73.2
1978,71.91,72.12,73.89,72.95,74.21,74.89,72.92,73.93,71.59,77.19,74.7,72.74,73.19,75.09,74.73,72.48,71.03,74.29,72.96,74.63,73.09,75.4,71.37,73.05,73.97,75.03,72.82,74.67,73.71,73.45,73.36,72.27,74.77,73.07,74.54,73.05,74.76,71.34,74.41,72.93,73.18,75.08,74.07,73.13,74.62,71.83,74.74,73.08,74.89,72.99
1979,72.36,72.91,74.31,73.72,74.54,75.29,73.17,74.09,72.08,76.9,75.43,73.04,73.61,75.68,75.33,72.99,71.53,74.59,73.33,75.05,73.59,76.13,71.86,73.72,74.15,75.53,72.9,74.87,73.94,73.63,73.73,72.92,75.79,73.4,74.99,73.57,74.6,71.69,74.99,73.31,73.52,75.75,75.16,73.41,75.18,72.49,75.37,73.67,75.18,73.51
1980,72.32,72.38,74.17,73.34,74.33,75.42,73.15,73.82,72.14,77.05,75.16,73.26,73.85,75.75,75.16,72.83,71.64,74.42,73.26,74.75,73.65,76.08,71.8,73.62,73.81,75.37,72.6,75.09,73.75,73.81,73.4,72.95,75.61,73.27,74.9,73.27,74.63,71.79,74.78,73.05,73.59,75.78,74.29,73.32,75.01,72.64,75.29,73.75,74.93,73.58
1981,72.86,72.97,74.79,73.88,74.83,75.5,73.6,74.03,72.42,77.6,75.33,73.6,74.05,76.07,75.42,73.29,71.87,75.06,73.63,75.26,73.74,76.48,72.28,74.06,74.07,75.65,73.47,75.23,74.29,74.99,73.81,73.22,76,73.76,75.31,73.84,75.05,72.11,75.26,73.52,73.8,75.89,75.27,73.81,75.45,73.17,75.55,74.33,75.39,73.77
1982,73.31,73.48,75.25,74.17,75.01,75.85,73.7,74.74,73.07,77.68,75.67,73.98,74.54,76.29,75.74,73.55,72.34,75.4,73.95,75.51,74.01,76.83,72.63,74.46,74.65,75.98,73.32,75.58,74.42,74.68,74.04,73.79,76.65,74.3,75.83,74.28,75.61,72.75,75.48,73.94,74.22,76.13,75.14,74.3,75.77,73.45,75.94,74.77,75.6,73.69
1983,73.38,73.72,75.49,74.04,75.35,76.23,74.58,74.91,72.99,77.49,75.51,74.05,74.51,76.26,75.87,73.42,72.45,75.12,74.01,75.48,74.09,76.78,72.65,74.49,74.98,76.16,74.1,75.62,74.49,75.27,74.07,73.94,76.8,74.22,75.66,74.34,75.5,72.65,75.53,73.83,74.3,76.56,75.18,74.25,76.04,73.61,76,75.33,75.9,74.3
1984,73.29,74.16,75.29,73.99,75.23,76.14,74.61,75.17,73.17,77.66,75.75,74.42,74.74,76.66,75.88,73.82,72.96,75.55,74.18,75.47,74.28,76.94,72.81,74.73,75.28,76.33,74.05,75.72,74.67,75.26,74.13,74.06,76.79,74.48,75.53,74.49,75.66,72.94,75.95,73.82,74.43,76.31,75.58,74.33,75.86,73.78,76.13,75.5,75.86,74.58
1985,73.3,73.92,75.53,73.85,75.14,76.53,73.93,74.96,73.03,77.85,76.37,74.42,74.76,76.38,76.16,73.71,72.75,75.09,74.02,75.56,74.13,76.89,72.67,74.69,75.56,76.38,74,75.43,74.53,75.23,74.08,74.01,77.06,74.53,75.58,74.43,75.61,73,76.11,73.85,74.57,76.53,75.5,74.47,75.86,73.79,76.36,75.21,75.91,74.54
1986,73.28,73.88,75.54,74.15,75.29,76.43,74.11,75.17,73.18,78.06,75.99,74.34,74.59,76.88,76.22,73.77,73.09,75.62,74.08,75.72,74.17,76.89,72.91,74.76,75.58,76.38,74.24,75.76,74.66,75.2,73.97,73.93,77.9,74.54,75.94,74.59,75.59,72.83,75.75,73.87,74.79,77,75.37,74.48,76.26,73.58,76.3,75.63,76.11,74.62
1987,73.6,74.5,75.46,74.06,75.3,76.59,74.39,75.24,73.25,77.83,76.38,74.61,74.99,76.79,76.51,73.99,73.27,75.69,74.1,75.91,74.4,77.33,72.87,74.84,76,76.5,74.27,76.19,74.65,75.34,73.99,74.11,77.41,74.79,75.78,74.59,75.72,73.02,76.19,73.91,75.01,76.98,75.52,74.79,76.29,73.77,76.49,76.61,76.26,75.05
1988,73.35,74.79,75.66,73.98,75.27,76.77,74.26,75.13,73.16,78.66,76.18,74.39,74.85,76.79,76.32,73.87,72.99,75.59,74.2,75.78,74.59,77.27,73.14,74.98,76.28,76.57,74.12,76.06,74.56,75.5,73.88,73.93,77.19,74.83,75.88,74.74,76.06,73.03,76.55,73.95,74.94,77.24,76.37,74.83,76.27,73.88,76.51,75.86,76.28,74.88
1989,73.53,75.01,75.93,74.22,75.43,77.16,74.37,75.41,73.34,78.18,76.75,74.64,75.33,77.07,76.73,74.05,72.88,76.21,74.54,76.38,74.84,77.84,72.85,75.17,76.23,76.83,74.62,76.52,75.02,75.77,74.22,74.26,77.75,75.23,76.15,75.08,76.22,73.23,76.69,74.32,74.96,77.55,76.42,75.22,76.77,74.01,76.82,75.96,76.47,75.12
