"Year","state","life_exp"
1959,"AL",68.25
1960,"AL",67.91
1961,"AL",68.56
1962,"AL",68.31
1963,"AL",68
1964,"AL",68.33
1965,"AL",68.21
1966,"AL",68.26
1967,"AL",68.98
1968,"AL",68.61
1969,"AL",68.71
1970,"AL",69.15
1971,"AL",69.45
1972,"AL",69.56
1973,"AL",69.6
1974,"AL",70.18
1975,"AL",71.03
1976,"AL",71.21
1977,"AL",71.38
1978,"AL",71.91
1979,"AL",72.36
1980,"AL",72.32
1981,"AL",72.86
1982,"AL",73.31
1983,"AL",73.38
1984,"AL",73.29
1985,"AL",73.3
1986,"AL",73.28
1987,"AL",73.6
1988,"AL",73.35
1989,"AL",73.53
1990,"AL",73.66
1991,"AL",73.64
1992,"AL",74.2
1993,"AL",73.83
1994,"AL",73.94
1995,"AL",73.93
1996,"AL",74
1997,"AL",74.29
1998,"AL",74.29
1999,"AL",74.26
2000,"AL",74.42
2001,"AL",74.51
2002,"AL",74.5
2003,"AL",74.48
2004,"AL",74.63
2005,"AL",74.57
2006,"AL",74.59
2007,"AL",74.9
2008,"AL",74.97
2009,"AL",75.28
2010,"AL",75.33
2011,"AL",75.38
2012,"AL",75.41
2013,"AL",75.36
2014,"AL",75.52
2015,"AL",75.35
2016,"AL",75.17
2017,"AL",75.39
2018,"AL",75.39
2019,"AL",75.57
1959,"AK",68.68
1960,"AK",67.23
1961,"AK",67.99
1962,"AK",67.86
1963,"AK",68.13
1964,"AK",67
1965,"AK",68.64
1966,"AK",69.21
1967,"AK",69.33
1968,"AK",69.24
1969,"AK",70.05
1970,"AK",69.22
1971,"AK",69.47
1972,"AK",70.19
1973,"AK",70.32
1974,"AK",70.83
1975,"AK",71.63
1976,"AK",71.71
1977,"AK",72.13
1978,"AK",72.12
1979,"AK",72.91
1980,"AK",72.38
1981,"AK",72.97
1982,"AK",73.48
1983,"AK",73.72
1984,"AK",74.16
1985,"AK",73.92
1986,"AK",73.88
1987,"AK",74.5
1988,"AK",74.79
1989,"AK",75.01
1990,"AK",74.96
1991,"AK",75.42
1992,"AK",75.39
1993,"AK",75.54
1994,"AK",75.68
1995,"AK",75.57
1996,"AK",75.83
1997,"AK",76.24
1998,"AK",76.8
1999,"AK",76.61
2000,"AK",76.14
2001,"AK",76.43
2002,"AK",76.88
2003,"AK",76.61
2004,"AK",77.49
2005,"AK",77.67
2006,"AK",77.33
2007,"AK",77.41
2008,"AK",77.76
2009,"AK",77.76
2010,"AK",77.9
2011,"AK",77.98
2012,"AK",78.2
2013,"AK",78.33
2014,"AK",78.29
2015,"AK",77.99
2016,"AK",77.8
2017,"AK",78.31
2018,"AK",78.73
2019,"AK",78.5
1959,"AZ",69.43
1960,"AZ",69.25
1961,"AZ",69.44
1962,"AZ",69.38
1963,"AZ",69.21
1964,"AZ",69.67
1965,"AZ",70.45
1966,"AZ",70.13
1967,"AZ",70.72
1968,"AZ",70.45
1969,"AZ",70.8
1970,"AZ",70.9
1971,"AZ",71.05
1972,"AZ",71.87
1973,"AZ",71.97
1974,"AZ",72.52
1975,"AZ",73.28
1976,"AZ",73.68
1977,"AZ",73.89
1978,"AZ",73.89
1979,"AZ",74.31
1980,"AZ",74.17
1981,"AZ",74.79
1982,"AZ",75.25
1983,"AZ",75.49
1984,"AZ",75.29
1985,"AZ",75.53
1986,"AZ",75.54
1987,"AZ",75.46
1988,"AZ",75.66
1989,"AZ",75.93
1990,"AZ",76.23
1991,"AZ",76.37
1992,"AZ",76.32
1993,"AZ",76.07
1994,"AZ",76.21
1995,"AZ",76.41
1996,"AZ",76.61
1997,"AZ",77.02
1998,"AZ",77.05
1999,"AZ",77
2000,"AZ",77.14
2001,"AZ",77.3
2002,"AZ",77.26
2003,"AZ",77.46
2004,"AZ",77.83
2005,"AZ",77.54
2006,"AZ",77.74
2007,"AZ",78.32
2008,"AZ",78.73
2009,"AZ",79.02
2010,"AZ",79.21
2011,"AZ",79.26
2012,"AZ",79.3
2013,"AZ",79.44
2014,"AZ",79.57
2015,"AZ",79.46
2016,"AZ",79.27
2017,"AZ",79.45
2018,"AZ",79.49
2019,"AZ",79.72
1959,"AR",70.37
1960,"AR",69.89
1961,"AR",70.47
1962,"AR",69.77
1963,"AR",69.57
1964,"AR",69.83
1965,"AR",70.29
1966,"AR",70.42
1967,"AR",70.65
1968,"AR",70.01
1969,"AR",70.32
1970,"AR",70.75
1971,"AR",70.94
1972,"AR",70.9
1973,"AR",71.03
1974,"AR",71.43
1975,"AR",72
1976,"AR",72.72
1977,"AR",73.07
1978,"AR",72.95
1979,"AR",73.72
1980,"AR",73.34
1981,"AR",73.88
1982,"AR",74.17
1983,"AR",74.04
1984,"AR",73.99
1985,"AR",73.85
1986,"AR",74.15
1987,"AR",74.06
1988,"AR",73.98
1989,"AR",74.22
1990,"AR",74.35
1991,"AR",74.3
1992,"AR",74.6
1993,"AR",74.17
1994,"AR",74.44
1995,"AR",74.55
1996,"AR",74.82
1997,"AR",74.43
1998,"AR",74.85
1999,"AR",74.95
2000,"AR",74.78
2001,"AR",75.05
2002,"AR",74.82
2003,"AR",75.15
2004,"AR",75.27
2005,"AR",75.35
2006,"AR",75.45
2007,"AR",75.65
2008,"AR",75.33
2009,"AR",75.73
2010,"AR",75.98
2011,"AR",75.88
2012,"AR",75.82
2013,"AR",75.87
2014,"AR",75.96
2015,"AR",75.7
2016,"AR",75.76
2017,"AR",75.61
2018,"AR",75.99
2019,"AR",76.11
1959,"CA",71.18
1960,"CA",70.83
1961,"CA",71.07
1962,"CA",71.09
1963,"CA",70.88
1964,"CA",70.96
1965,"CA",71.1
1966,"CA",71.1
1967,"CA",71.45
1968,"CA",71.51
1969,"CA",71.44
1970,"CA",71.8
1971,"CA",72.01
1972,"CA",72.29
1973,"CA",72.52
1974,"CA",73.03
1975,"CA",73.35
1976,"CA",73.76
1977,"CA",74.18
1978,"CA",74.21
1979,"CA",74.54
1980,"CA",74.33
1981,"CA",74.83
1982,"CA",75.01
1983,"CA",75.35
1984,"CA",75.23
1985,"CA",75.14
1986,"CA",75.29
1987,"CA",75.3
1988,"CA",75.27
1989,"CA",75.43
1990,"CA",75.82
1991,"CA",76.07
1992,"CA",76.32
1993,"CA",76.25
1994,"CA",76.38
1995,"CA",76.64
1996,"CA",77.1
1997,"CA",77.44
1998,"CA",77.64
1999,"CA",77.87
2000,"CA",78.09
2001,"CA",78.13
2002,"CA",78.37
2003,"CA",78.39
2004,"CA",78.91
