"Abbreviation","State","Year","ex"
"AL","Alabama",1959,68.25
"AL","Alabama",1960,67.91
"AL","Alabama",1961,68.56
"AL","Alabama",1962,68.31
"AL","Alabama",1963,68
"AL","Alabama",1964,68.33
"AL","Alabama",1965,68.21
"AL","Alabama",1966,68.26
"AL","Alabama",1967,68.98
"AL","Alabama",1968,68.61
"AL","Alabama",1969,68.71
"AL","Alabama",1970,69.15
"AL","Alabama",1971,69.45
"AL","Alabama",1972,69.56
"AL","Alabama",1973,69.6
"AL","Alabama",1974,70.18
"AL","Alabama",1975,71.03
"AL","Alabama",1976,71.21
"AL","Alabama",1977,71.38
"AL","Alabama",1978,71.91
"AL","Alabama",1979,72.36
"AL","Alabama",1980,72.32
"AL","Alabama",1981,72.86
"AL","Alabama",1982,73.31
"AL","Alabama",1983,73.38
"AL","Alabama",1984,73.29
"AL","Alabama",1985,73.3
"AL","Alabama",1986,73.28
"AL","Alabama",1987,73.6
"AL","Alabama",1988,73.35
"AL","Alabama",1989,73.53
"AL","Alabama",1990,73.66
"AL","Alabama",1991,73.64
"AL","Alabama",1992,74.2
"AL","Alabama",1993,73.83
"AL","Alabama",1994,73.94
"AL","Alabama",1995,73.93
"AL","Alabama",1996,74
"AL","Alabama",1997,74.29
"AL","Alabama",1998,74.29
"AL","Alabama",1999,74.26
"AL","Alabama",2000,74.42
"AL","Alabama",2001,74.51
"AL","Alabama",2002,74.5
"AL","Alabama",2003,74.48
"AL","Alabama",2004,74.63
"AL","Alabama",2005,74.57
"AL","Alabama",2006,74.59
"AL","Alabama",2007,74.9
"AL","Alabama",2008,74.97
"AL","Alabama",2009,75.28
"AL","Alabama",2010,75.33
"AL","Alabama",2011,75.38
"AL","Alabama",2012,75.41
"AL","Alabama",2013,75.36
"AL","Alabama",2014,75.52
"AL","Alabama",2015,75.35
"AL","Alabama",2016,75.17
"AL","Alabama",2017,75.39
"AL","Alabama",2018,75.39
"AL","Alabama",2019,75.57
"AK","Alaska",1959,68.68
"AK","Alaska",1960,67.23
"AK","Alaska",1961,67.99
"AK","Alaska",1962,67.86
"AK","Alaska",1963,68.13
"AK","Alaska",1964,67
"AK","Alaska",1965,68.64
"AK","Alaska",1966,69.21
"AK","Alaska",1967,69.33
"AK","Alaska",1968,69.24
"AK","Alaska",1969,70.05
"AK","Alaska",1970,69.22
"AK","Alaska",1971,69.47
"AK","Alaska",1972,70.19
"AK","Alaska",1973,70.32
"AK","Alaska",1974,70.83
"AK","Alaska",1975,71.63
"AK","Alaska",1976,71.71
"AK","Alaska",1977,72.13
"AK","Alaska",1978,72.12
"AK","Alaska",1979,72.91
"AK","Alaska",1980,72.38
"AK","Alaska",1981,72.97
"AK","Alaska",1982,73.48
"AK","Alaska",1983,73.72
"AK","Alaska",1984,74.16
"AK","Alaska",1985,73.92
"AK","Alaska",1986,73.88
"AK","Alaska",1987,74.5
"AK","Alaska",1988,74.79
"AK","Alaska",1989,75.01
"AK","Alaska",1990,74.96
"AK","Alaska",1991,75.42
"AK","Alaska",1992,75.39
"AK","Alaska",1993,75.54
"AK","Alaska",1994,75.68
"AK","Alaska",1995,75.57
"AK","Alaska",1996,75.83
"AK","Alaska",1997,76.24
"AK","Alaska",1998,76.8
"AK","Alaska",1999,76.61
"AK","Alaska",2000,76.14
"AK","Alaska",2001,76.43
"AK","Alaska",2002,76.88
"AK","Alaska",2003,76.61
"AK","Alaska",2004,77.49
"AK","Alaska",2005,77.67
"AK","Alaska",2006,77.33
"AK","Alaska",2007,77.41
"AK","Alaska",2008,77.76
"AK","Alaska",2009,77.76
"AK","Alaska",2010,77.9
"AK","Alaska",2011,77.98
"AK","Alaska",2012,78.2
"AK","Alaska",2013,78.33
"AK","Alaska",2014,78.29
"AK","Alaska",2015,77.99
"AK","Alaska",2016,77.8
"AK","Alaska",2017,78.31
"AK","Alaska",2018,78.73
"AK","Alaska",2019,78.5
"AZ","Arizona",1959,69.43
"AZ","Arizona",1960,69.25
"AZ","Arizona",1961,69.44
"AZ","Arizona",1962,69.38
"AZ","Arizona",1963,69.21
"AZ","Arizona",1964,69.67
"AZ","Arizona",1965,70.45
"AZ","Arizona",1966,70.13
"AZ","Arizona",1967,70.72
"AZ","Arizona",1968,70.45
"AZ","Arizona",1969,70.8
"AZ","Arizona",1970,70.9
"AZ","Arizona",1971,71.05
"AZ","Arizona",1972,71.87
"AZ","Arizona",1973,71.97
"AZ","Arizona",1974,72.52
"AZ","Arizona",1975,73.28
"AZ","Arizona",1976,73.68
"AZ","Arizona",1977,73.89
"AZ","Arizona",1978,73.89
"AZ","Arizona",1979,74.31
"AZ","Arizona",1980,74.17
"AZ","Arizona",1981,74.79
"AZ","Arizona",1982,75.25
"AZ","Arizona",1983,75.49
"AZ","Arizona",1984,75.29
"AZ","Arizona",1985,75.53
"AZ","Arizona",1986,75.54
"AZ","Arizona",1987,75.46
"AZ","Arizona",1988,75.66
"AZ","Arizona",1989,75.93
"AZ","Arizona",1990,76.23
"AZ","Arizona",1991,76.37
"AZ","Arizona",1992,76.32
"AZ","Arizona",1993,76.07
"AZ","Arizona",1994,76.21
"AZ","Arizona",1995,76.41
"AZ","Arizona",1996,76.61
"AZ","Arizona",1997,77.02
"AZ","Arizona",1998,77.05
"AZ","Arizona",1999,77
"AZ","Arizona",2000,77.14
"AZ","Arizona",2001,77.3
"AZ","Arizona",2002,77.26
"AZ","Arizona",2003,77.46
"AZ","Arizona",2004,77.83
"AZ","Arizona",2005,77.54
"AZ","Arizona",2006,77.74
"AZ","Arizona",2007,78.32
"AZ","Arizona",2008,78.73
"AZ","Arizona",2009,79.02
"AZ","Arizona",2010,79.21
"AZ","Arizona",2011,79.26
"AZ","Arizona",2012,79.3
"AZ","Arizona",2013,79.44
"AZ","Arizona",2014,79.57
"AZ","Arizona",2015,79.46
"AZ","Arizona",2016,79.27
"AZ","Arizona",2017,79.45
"AZ","Arizona",2018,79.49
"AZ","Arizona",2019,79.72
"AR","Arkansas",1959,70.37
"AR","Arkansas",1960,69.89
"AR","Arkansas",1961,70.47
"AR","Arkansas",1962,69.77
"AR","Arkansas",1963,69.57
"AR","Arkansas",1964,69.83
"AR","Arkansas",1965,70.29
"AR","Arkansas",1966,70.42
"AR","Arkansas",1967,70.65
"AR","Arkansas",1968,70.01
"AR","Arkansas",1969,70.32
"AR","Arkansas",1970,70.75
"AR","Arkansas",1971,70.94
"AR","Arkansas",1972,70.9
"AR","Arkansas",1973,71.03
"AR","Arkansas",1974,71.43
"AR","Arkansas",1975,72
"AR","Arkansas",1976,72.72
"AR","Arkansas",1977,73.07
"AR","Arkansas",1978,72.95
"AR","Arkansas",1979,73.72
"AR","Arkansas",1980,73.34
"AR","Arkansas",1981,73.88
"AR","Arkansas",1982,74.17
"AR","Arkansas",1983,74.04
"AR","Arkansas",1984,73.99
"AR","Arkansas",1985,73.85
"AR","Arkansas",1986,74.15
"AR","Arkansas",1987,74.06
"AR","Arkansas",1988,73.98
"AR","Arkansas",1989,74.22
"AR","Arkansas",1990,74.35
"AR","Arkansas",1991,74.3
"AR","Arkansas",1992,74.6
"AR","Arkansas",1993,74.17
"AR","Arkansas",1994,74.44
"AR","Arkansas",1995,74.55
"AR","Arkansas",1996,74.82
"AR","Arkansas",1997,74.43
"AR","Arkansas",1998,74.85
"AR","Arkansas",1999,74.95
"AR","Arkansas",2000,74.78
"AR","Arkansas",2001,75.05
"AR","Arkansas",2002,74.82
"AR","Arkansas",2003,75.15
"AR","Arkansas",2004,75.27
"AR","Arkansas",2005,75.35
"AR","Arkansas",2006,75.45
"AR","Arkansas",2007,75.65
"AR","Arkansas",2008,75.33
"AR","Arkansas",2009,75.73
"AR","Arkansas",2010,75.98
"AR","Arkansas",2011,75.88
"AR","Arkansas",2012,75.82
"AR","Arkansas",2013,75.87
"AR","Arkansas",2014,75.96
"AR","Arkansas",2015,75.7
"AR","Arkansas",2016,75.76
"AR","Arkansas",2017,75.61
"AR","Arkansas",2018,75.99
"AR","Arkansas",2019,76.11
"CA","California",1959,71.18
"CA","California",1960,70.83
"CA","California",1961,71.07
"CA","California",1962,71.09
"CA","California",1963,70.88
"CA","California",1964,70.96
